ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
4154|SF-5976|4|153|Aspergillus
4088|SF-6796|4|153|Aspergillus
4210|SK-28|4|153|Aspergillus
4178|SP-1|4|1404|Aspergillus sydowii
3972|sp. MMAO1|4|234|Aspergillus oryzae
4020|SPS-02|4|152|Aspergillus fumigatus
4097|strain (dl-29)|4|134|Aspergillus versicolor
1671|strain 01F313|4|1408|Aspergillus ostianus
1565|strain CBS 135-55|4|18|Aspergillus variecolor
4201|strain CUGBMF170049|4|152|Aspergillus fumigatus
4012|strain F00785|4|153|Aspergillus
4069|strain FH-A 6692|4|3|Aspergillus ochraceus
4197|SW9|4|1404|Aspergillus sydowii
4225|SYSU-SKS025|4|134|Aspergillus versicolor
1469|T. 680|4|1468|Aspergillus funiculosus
1418|TC 1118|4|133|Aspergillus ustus
1417|TC 1446|4|1400|Aspergillus flavipes
1411|TC 1629|4|283|Aspergillus niger
3874|Thom|4|540|Aspergillus caespitosus
1420|Thom DSM 11247|4|12|Aspergillus terreus
4240|Tieghem|4|283|Aspergillus niger
4173|TJ23|4|153|Aspergillus
4180|TM8|4|12|Aspergillus terreus
4141|TMPU1623|4|153|Aspergillus
4085|TPU1343|4|153|Aspergillus
4254|UGM218|4|133|Aspergillus ustus
4105|var. boedijnii (Blochwitz)|4|12|Aspergillus terreus
1414|var. columnaris FKI-0739|4|19|Aspergillus flavus
1444|WB2346|4|283|Aspergillus niger
1619|WC76446|4|3|Aspergillus ochraceus
1566|WF-38-11|4|1402|Aspergillus clavatus
4110|WFZ-25|4|152|Aspergillus fumigatus
3970|WILH|4|3|Aspergillus ochraceus
4019|WZ-4-11|4|129|Aspergillus carbonarius
4228|WZXY-SX-4-1|4|4227|Aspergillus europaeus
4200|XNM-4|4|153|Aspergillus
4024|XS-20090B15|4|153|Aspergillus
4072|XW-12|4|153|Aspergillus
4226|xy02|4|153|Aspergillus
1461|Y-30462|4|1404|Aspergillus sydowii
4027|Y10|4|134|Aspergillus versicolor
4160|YHZ-1|4|153|Aspergillus
4165|YIM PH30711|4|12|Aspergillus terreus
4021|YK-7|4|152|Aspergillus fumigatus
4142|YK-76|4|153|Aspergillus
4232|YQ-13|4|153|Aspergillus
4002|YXf3|4|153|Aspergillus
4248|Z120|4|153|Aspergillus
4164|Z4|4|153|Aspergillus
4163|ZA-01|4|153|Aspergillus
3969|ZBY-3|4|134|Aspergillus versicolor
4196|ZF-79|4|153|Aspergillus
2339|ZHN-7-07|4|2261|Aspergillus taichungensis
1713|ZJ-2008001|4|153|Aspergillus
4186|ZJ-68|4|153|Aspergillus
3985|ZL0-1b14|4|153|Aspergillus
2353|ZLN-60|4|134|Aspergillus versicolor
2367|ZLN-61|4|134|Aspergillus versicolor
2368|ZLN-62|4|134|Aspergillus versicolor
2369|ZLN-63|4|134|Aspergillus versicolor
4166|[CFCC 81836]|4|12|Aspergillus terreus
