ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
3979|FKI-2136|4|153|Aspergillus
3931|FKI-2342|4|283|Aspergillus niger
4140|FKI-6682|4|153|Aspergillus
4138|FKI-6817|4|2351|Aspergillus tamari
4189|FM242|4|153|Aspergillus
4092|FN070449|4|153|Aspergillus
1450|FO-1289|4|152|Aspergillus fumigatus
1436|FO-1289-2501|4|152|Aspergillus fumigatus
2226|FO-4282|4|153|Aspergillus
1419|FO-5904|4|283|Aspergillus niger
4242|Fres|4|152|Aspergillus fumigatus
1462|Fresenius 1863|4|152|Aspergillus fumigatus
1422|FT-0554|4|283|Aspergillus niger
4275|G131|4|131|Aspergillus tubingensis
3984|GH-2|4|134|Aspergillus versicolor
3981|Gwq-48|4|12|Aspergillus terreus
4198|GZWMJZ-258|4|153|Aspergillus
4229|GZWMJZ-288|4|19|Aspergillus flavus
4076|H-3|4|152|Aspergillus fumigatus
4168|H010|4|12|Aspergillus terreus
2336|H1-1|4|2335|Aspergillus effuses
1456|HA 302-84|4|234|Aspergillus oryzae
4048|HB1-19|4|1691|Aspergillus glaucus
3994|HDN08-60|4|134|Aspergillus versicolor
3989|HDN1009|4|134|Aspergillus versicolor
4137|HDN11-84|4|134|Aspergillus versicolor
4157|HDN14-107|4|1770|Aspergillus aureolatus
1672|HK10499|4|12|Aspergillus terreus
4073|Hmp-48|4|134|Aspergillus versicolor
4223|HMP-F28|4|234|Aspergillus oryzae
4215|HN15-5D|4|153|Aspergillus
4147|HN4-13|4|1400|Aspergillus flavipes
